景色	ケシキ	ケシキ
が	ガ	ガ
、	、	、
丁度	チョウド	チョード
覗き	ノゾキ	ノゾキ
眼鏡	メガネ	メガネ
を	ヲ	オ
見る	ミル	ミル
よう	ヨウ	ヨー
に	ニ	ニ
、	、	、
はっきり	ハッキリ	ハッキリ
と	ト	ト
見える	ミエル	ミエル
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
する	スル	スル
と	ト	ト
その	ソノ	ソノ
地獄	ジゴク	ジゴク
の	ノ	ノ
底	ソコ	ソコ
に	ニ	ニ
、	、	、
犍陀多	カンダタ	カンダタ
と	ト	ト
云う	イウ	イウ
男	オトコ	オトコ
が	ガ	ガ
一人	ヒトリ	ヒトリ
、	、	、
ほか	ホカ	ホカ
の	ノ	ノ
罪人	ザイニン	ザイニン
と	ト	ト
一しょ	イッショ	イッショ
に	ニ	ニ
蠢い	ウゴメイ	ウゴメー
て	テ	テ
いる	イル	イル
姿	スガタ	スガタ
が	ガ	ガ
、	、	、
御	オ	オ
眼	メ	メ
に	ニ	ニ
止まり	トマリ	トマリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
この	コノ	コノ
犍陀多	カンダタ	カンダタ
と	ト	ト
云う	イウ	イウ
男	オトコ	オトコ
は	ハ	ワ
、	、	、
人	ヒト	ヒト
を	ヲ	オ
殺し	コロシ	コロシ
たり	タリ	タリ
家	イエ	イエ
に	ニ	ニ
火	ヒ	ヒ
を	ヲ	オ
つけ	ツケ	ツケ
たり	タリ	タリ
、	、	、
いろいろ	イロイロ	イロイロ
悪事	アクジ	アクジ
を	ヲ	オ
働い	ハタライ	ハタライ
た	タ	タ
大	オオ	オー
泥坊	ドロボウ	ドロボー
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
が	ガ	ガ
、	、	、
それ	ソレ	ソレ
で	デ	デ
も	モ	モ
たった	タッタ	タッタ
一	ヒト	ヒト
つ	ツ	ツ
、	、	、
善い	ヨイ	ヨイ
事	コト	コト
を	ヲ	オ
致し	イタシ	イタシ
た	タ	タ
覚え	オボエ	オボエ
が	ガ	ガ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
と	ト	ト
申し	モウシ	モーシ
ます	マス	マス
の	ノ	ノ
は	ハ	ワ
、	、	、
ある	アル	アル
時	トキ	トキ
この	コノ	コノ
男	オトコ	オトコ
が	ガ	ガ
深い	フカイ	フカイ
林	ハヤシ	ハヤシ
の	ノ	ノ
中	ナカ	ナカ
を	ヲ	オ
通り	トオリ	トーリ
ます	マス	マス
と	ト	ト
、	、	、
小さな	チイサナ	チーサナ
蜘蛛	クモ	クモ
が	ガ	ガ
一	イッ	イッ
匹	ピキ	ピキ
、	、	、
路ばた	ミチバタ	ミチバタ
を	ヲ	オ
這っ	ハッ	ハッ
て	テ	テ
行く	イク	イク
の	ノ	ノ
が	ガ	ガ
見え	ミエ	ミエ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
犍陀多	カンダタ	カンダタ
は	ハ	ワ
早速	サッソク	サッソク
足	アシ	アシ
を	ヲ	オ
挙げ	アゲ	アゲ
て	テ	テ
、	、	、
踏み殺そう	フミコロソウ	フミコロソー
と	ト	ト
致し	イタシ	イタシ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
「	「	「
いや	イヤ	イヤ
、	、	、
いや	イヤ	イヤ
、	、	、
これ	コレ	コレ
も	モ	モ
小さい	チイサイ	チーサイ
ながら	ナガラ	ナガラ
、	、	、
命	イノチ	イノチ
の	ノ	ノ
ある	アル	アル
もの	モノ	モノ
に	ニ	ニ
違い	チガイ	チガイ
ない	ナイ	ナイ
。	。	。
EOS
その	ソノ	ソノ
命	イノチ	イノチ
を	ヲ	オ
無暗	ムヤミ	ムヤミ
に	ニ	ニ
とる	トル	トル
と	ト	ト
云う	イウ	イウ
事	コト	コト
は	ハ	ワ
、	、	、
いくら	イクラ	イクラ
何	ナニ	ナニ
で	デ	デ
も	モ	モ
可哀そう	カワイソウ	カワイソー
だ	ダ	ダ
。	。	。
EOS
」	」	」
と	ト	ト
、	、	、
こう	コウ	コー
急	キュウ	キュー
に	ニ	ニ
思い返し	オモイカエシ	オモイカエシ
て	テ	テ
、	、	、
とうとう	トウトウ	トートー
その	ソノ	ソノ
蜘蛛	クモ	クモ
を	ヲ	オ
殺さ	コロサ	コロサ
ず	ズ	ズ
に	ニ	ニ
助け	タスケ	タスケ
て	テ	テ
やっ	ヤッ	ヤッ
た	タ	タ
から	カラ	カラ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
御釈迦様	オシャカサマ	オシャカサマ
は	ハ	ワ
地獄	ジゴク	ジゴク
の	ノ	ノ
容子	ヨウス	ヨース
を	ヲ	オ
御覧	ゴラン	ゴラン
に	ニ	ニ
なり	ナリ	ナリ
ながら	ナガラ	ナガラ
、	、	、
この	コノ	コノ
犍陀多	カンダタ	カンダタ
に	ニ	ニ
は	ハ	ワ
蜘蛛	クモ	クモ
を	ヲ	オ
助け	タスケ	タスケ
た	タ	タ
事	コト	コト
が	ガ	ガ
ある	アル	アル
の	ノ	ノ
を	ヲ	オ
御	オ	オ
思い出し	オモイダシ	オモイダシ
に	ニ	ニ
なり	ナリ	ナリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そう	ソウ	ソー
し	シ	シ
て	テ	テ
それ	ソレ	ソレ
だけ	ダケ	ダケ
の	ノ	ノ
善い	ヨイ	ヨイ
事	コト	コト
を	ヲ	オ
し	シ	シ
た	タ	タ
報	ムクイ	ムクイ
に	ニ	ニ
は	ハ	ワ
、	、	、
出来る	デキル	デキル
なら	ナラ	ナラ
、	、	、
この	コノ	コノ
男	オトコ	オトコ
を	ヲ	オ
地獄	ジゴク	ジゴク
から	カラ	カラ
救い出し	スクイダシ	スクイダシ
て	テ	テ
やろう	ヤロウ	ヤロー
と	ト	ト
御	オ	オ
考え	カンガエ	カンガエ
に	ニ	ニ
なり	ナリ	ナリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
幸い	サイワイ	サイワイ
、	、	、
側	ソバ	ソバ
を	ヲ	オ
見	ミ	ミ
ます	マス	マス
と	ト	ト
、	、	、
翡翠	ヒスイ	ヒスイ
の	ノ	ノ
よう	ヨウ	ヨー
な	ナ	ナ
色	イロ	イロ
を	ヲ	オ
し	シ	シ
た	タ	タ
蓮	ハス	ハス
の	ノ	ノ
葉	ハ	ハ
の	ノ	ノ
上	ウエ	ウエ
に	ニ	ニ
、	、	、
極楽	ゴクラク	ゴクラク
の	ノ	ノ
蜘蛛	クモ	クモ
が	ガ	ガ
一	イッ	イッ
匹	ピキ	ピキ
、	、	、
美しい	ウツクシイ	ウツクシー
銀色	ギンイロ	ギンイロ
の	ノ	ノ
糸	イト	イト
を	ヲ	オ
かけ	カケ	カケ
て	テ	テ
居り	オリ	オリ
ます	マス	マス
。	。	。
EOS
御釈迦様	オシャカサマ	オシャカサマ
は	ハ	ワ
その	ソノ	ソノ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
を	ヲ	オ
そっと	ソット	ソット
御	オ	オ
手	テ	テ
に	ニ	ニ
御	オ	オ
取り	トリ	トリ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
、	、	、
玉	タマ	タマ
の	ノ	ノ
よう	ヨウ	ヨー
な	ナ	ナ
白蓮	シラハス	シラハス
の	ノ	ノ
間	アイダ	アイダ
から	カラ	カラ
、	、	、
遥か	ハルカ	ハルカ
下	シタ	シタ
に	ニ	ニ
ある	アル	アル
地獄	ジゴク	ジゴク
の	ノ	ノ
底	ソコ	ソコ
へ	ヘ	エ
、	、	、
まっすぐ	マッスグ	マッスグ
に	ニ	ニ
それ	ソレ	ソレ
を	ヲ	オ
御	オ	オ
下し	オロシ	オロシ
なさい	ナサイ	ナサイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
こちら	コチラ	コチラ
は	ハ	ワ
地獄	ジゴク	ジゴク
の	ノ	ノ
底	ソコ	ソコ
の	ノ	ノ
血の池	チノイケ	チノイケ
で	デ	デ
、	、	、
ほか	ホカ	ホカ
の	ノ	ノ
罪人	ザイニン	ザイニン
と	ト	ト
一しょ	イッショ	イッショ
に	ニ	ニ
、	、	、
浮い	ウイ	ウイ
たり	タリ	タリ
沈ん	シズン	シズン
だり	ダリ	ダリ
し	シ	シ
て	テ	テ
い	イ	イ
た	タ	タ
犍陀多	カンダタ	カンダタ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
何しろ	ナニシロ	ナニシロ
どちら	ドチラ	ドチラ
を	ヲ	オ
見	ミ	ミ
て	テ	テ
も	モ	モ
、	、	、
まっ暗	マックラ	マックラ
で	デ	デ
、	、	、
たまに	タマニ	タマニ
その	ソノ	ソノ
くら	クラ	クラ
暗	ヤミ	ヤミ
から	カラ	カラ
ぼんやり	ボンヤリ	ボンヤリ
浮き上っ	ウキアガッ	ウキアガッ
て	テ	テ
いる	イル	イル
もの	モノ	モノ
が	ガ	ガ
ある	アル	アル
と	ト	ト
思い	オモイ	オモイ
ます	マス	マス
と	ト	ト
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
恐しい	オソロシイ	オソロシー
針	ハリ	ハリ
の	ノ	ノ
山	ヤマ	ヤマ
の	ノ	ノ
針	ハリ	ハリ
が	ガ	ガ
光る	ヒカル	ヒカル
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
から	カラ	カラ
、	、	、
その	ソノ	ソノ
心細	ココロボソ	ココロボソ
さ	サ	サ
と	ト	ト
云っ	イッ	イッ
たら	タラ	タラ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
その	ソノ	ソノ
上	ウエ	ウエ
あたり	アタリ	アタリ
は	ハ	ワ
墓	ハカ	ハカ
の	ノ	ノ
中	ナカ	ナカ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
しんと	シント	シント
静まり返っ	シズマリカエッ	シズマリカエッ
て	テ	テ
、	、	、
たまに	タマニ	タマニ
聞える	キコエル	キコエル
もの	モノ	モノ
と	ト	ト
云っ	イッ	イッ
て	テ	テ
は	ハ	ワ
、	、	、
ただ	タダ	タダ
罪人	ザイニン	ザイニン
が	ガ	ガ
つく	ツク	ツク
微	カスカ	カスカ
な	ナ	ナ
嘆息	タンソク	タンソク
ばかり	バカリ	バカリ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
これ	コレ	コレ
は	ハ	ワ
ここ	ココ	ココ
へ	ヘ	エ
落ち	オチ	オチ
て	テ	テ
来る	クル	クル
ほど	ホド	ホド
の	ノ	ノ
人間	ニンゲン	ニンゲン
は	ハ	ワ
、	、	、
もう	モウ	モー
さまざま	サマザマ	サマザマ
な	ナ	ナ
地獄	ジゴク	ジゴク
の	ノ	ノ
責苦	セメク	セメク
に	ニ	ニ
疲れ	ツカレ	ツカレ
はて	ハテ	ハテ
て	テ	テ
、	、	、
泣声	ナキゴエ	ナキゴエ
を	ヲ	オ
出す	ダス	ダス
力	チカラ	チカラ
さえ	サエ	サエ
なくなっ	ナクナッ	ナクナッ
て	テ	テ
いる	イル	イル
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ましょう	マショウ	マショー
。	。	。
EOS
です	デス	デス
から	カラ	カラ
さすが	サスガ	サスガ
大	オオ	オー
泥坊	ドロボウ	ドロボー
の	ノ	ノ
犍陀多	カンダタ	カンダタ
も	モ	モ
、	、	、
やはり	ヤハリ	ヤハリ
血の池	チノイケ	チノイケ
の	ノ	ノ
血	チ	チ
に	ニ	ニ
咽び	ムセビ	ムセビ
ながら	ナガラ	ナガラ
、	、	、
まるで	マルデ	マルデ
死にかかっ	シニカカッ	シニカカッ
た	タ	タ
蛙	カワズ	カワズ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
、	、	、
ただ	タダ	タダ
もがい	モガイ	モガイ
て	テ	テ
ばかり	バカリ	バカリ
居り	オリ	オリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ところ	トコロ	トコロ
が	ガ	ガ
ある	アル	アル
時	トキ	トキ
の	ノ	ノ
事	コト	コト
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
何	ナニ	ナニ
気	ゲ	ゲ
なく	ナク	ナク
犍陀多	カンダタ	カンダタ
が	ガ	ガ
頭	アタマ	アタマ
を	ヲ	オ
挙げ	アゲ	アゲ
て	テ	テ
、	、	、
血の池	チノイケ	チノイケ
の	ノ	ノ
空	ソラ	ソラ
を	ヲ	オ
眺め	ナガメ	ナガメ
ます	マス	マス
と	ト	ト
、	、	、
その	ソノ	ソノ
ひっそり	ヒッソリ	ヒッソリ
と	ト	ト
し	シ	シ
た	タ	タ
暗	ヤミ	ヤミ
の	ノ	ノ
中	ナカ	ナカ
を	ヲ	オ
、	、	、
遠い	トオイ	トーイ
遠い	トオイ	トーイ
天上	テンジョウ	テンジョー
から	カラ	カラ
、	、	、
銀色	ギンイロ	ギンイロ
の	ノ	ノ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
が	ガ	ガ
、	、	、
まるで	マルデ	マルデ
人目	ヒトメ	ヒトメ
に	ニ	ニ
かかる	カカル	カカル
の	ノ	ノ
を	ヲ	オ
恐れる	オソレル	オソレル
よう	ヨウ	ヨー
に	ニ	ニ
、	、	、
一すじ	ヒトスジ	ヒトスジ
細く	ホソク	ホソク
光り	ヒカリ	ヒカリ
ながら	ナガラ	ナガラ
、	、	、
するする	スルスル	スルスル
と	ト	ト
自分	ジブン	ジブン
の	ノ	ノ
上	ウエ	ウエ
へ	ヘ	エ
垂れ	タレ	タレ
て	テ	テ
参る	マイル	マイル
の	ノ	ノ
で	デ	デ
は	ハ	ワ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
か	カ	カ
。	。	。
EOS
犍陀多	カンダタ	カンダタ
は	ハ	ワ
これ	コレ	コレ
を	ヲ	オ
見る	ミル	ミル
と	ト	ト
、	、	、
思わ	オモワ	オモワ
ず	ズ	ズ
手	テ	テ
を	ヲ	オ
拍っ	ウッ	ウッ
て	テ	テ
喜び	ヨロコビ	ヨロコビ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
この	コノ	コノ
糸	イト	イト
に	ニ	ニ
縋りつい	スガリツイ	スガリツイ
て	テ	テ
、	、	、
どこ	ドコ	ドコ
まで	マデ	マデ
も	モ	モ
のぼっ	ノボッ	ノボッ
て	テ	テ
行け	イケ	イケ
ば	バ	バ
、	、	、
きっと	キット	キット
地獄	ジゴク	ジゴク
から	カラ	カラ
ぬけ	ヌケ	ヌケ
出せる	ダセル	ダセル
の	ノ	ノ
に	ニ	ニ
相違	ソウイ	ソーイ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
いや	イヤ	イヤ
、	、	、
うまく	ウマク	ウマク
行く	イク	イク
と	ト	ト
、	、	、
極楽	ゴクラク	ゴクラク
へ	ヘ	エ
はいる	ハイル	ハイル
事	コト	コト
さえ	サエ	サエ
も	モ	モ
出来	デキ	デキ
ましょう	マショウ	マショー
。	。	。
EOS
そう	ソウ	ソー
すれ	スレ	スレ
ば	バ	バ
、	、	、
もう	モウ	モー
針	ハリ	ハリ
の	ノ	ノ
山	ヤマ	ヤマ
へ	ヘ	エ
追い上げ	オイアゲ	オイアゲ
られる	ラレル	ラレル
事	コト	コト
も	モ	モ
なくなれ	ナクナレ	ナクナレ
ば	バ	バ
、	、	、
血の池	チノイケ	チノイケ
に	ニ	ニ
沈め	シズメ	シズメ
られる	ラレル	ラレル
事	コト	コト
も	モ	モ
ある	アル	アル
筈	ハズ	ハズ
は	ハ	ワ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
こう	コウ	コー
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
から	カラ	カラ
犍陀多	カンダタ	カンダタ
は	ハ	ワ
、	、	、
早速	サッソク	サッソク
その	ソノ	ソノ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
を	ヲ	オ
両手	リョウテ	リョーテ
で	デ	デ
しっかり	シッカリ	シッカリ
と	ト	ト
つかみ	ツカミ	ツカミ
ながら	ナガラ	ナガラ
、	、	、
一生	イッショウ	イッショー
懸命	ケンメイ	ケンメー
に	ニ	ニ
上	ウエ	ウエ
へ	ヘ	エ
上	ウエ	ウエ
へ	ヘ	エ
と	ト	ト
たぐり	タグリ	タグリ
のぼり	ノボリ	ノボリ
始め	ハジメ	ハジメ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
元より	モトヨリ	モトヨリ
大	オオ	オー
泥坊	ドロボウ	ドロボー
の	ノ	ノ
事	コト	コト
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
から	カラ	カラ
、	、	、
こう	コウ	コー
云う	イウ	イウ
事	コト	コト
に	ニ	ニ
は	ハ	ワ
昔	ムカシ	ムカシ
から	カラ	カラ
、	、	、
慣れ	ナレ	ナレ
切っ	キッ	キッ
て	テ	テ
いる	イル	イル
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
しかし	シカシ	シカシ
地獄	ジゴク	ジゴク
と	ト	ト
極楽	ゴクラク	ゴクラク
と	ト	ト
の	ノ	ノ
間	アイダ	アイダ
は	ハ	ワ
、	、	、
何	ナン	ナン
万	マン	マン
里	リ	リ
と	ト	ト
なく	ナク	ナク
ござい	ゴザイ	ゴザイ
ます	マス	マス
から	カラ	カラ
、	、	、
いくら	イクラ	イクラ
焦っ	アセッ	アセッ
て	テ	テ
見	ミ	ミ
た	タ	タ
所	トコロ	トコロ
で	デ	デ
、	、	、
容易	ヨウイ	ヨーイ
に	ニ	ニ
上	ウエ	ウエ
へ	ヘ	エ
は	ハ	ワ
出	デ	デ
られ	ラレ	ラレ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
やや	ヤヤ	ヤヤ
しばらく	シバラク	シバラク
のぼる	ノボル	ノボル
中	ウチ	ウチ
に	ニ	ニ
、	、	、
とうとう	トウトウ	トートー
犍陀多	カンダタ	カンダタ
も	モ	モ
くたびれ	クタビレ	クタビレ
て	テ	テ
、	、	、
もう	モウ	モー
一	ヒト	ヒト
たぐり	タグリ	タグリ
も	モ	モ
上	ウエ	ウエ
の	ノ	ノ
方	ホウ	ホー
へ	ヘ	エ
は	ハ	ワ
のぼれ	ノボレ	ノボレ
なく	ナク	ナク
なっ	ナッ	ナッ
て	テ	テ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
仕方	シカタ	シカタ
が	ガ	ガ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
から	カラ	カラ
、	、	、
まず	マズ	マズ
一休み	ヒトヤスミ	ヒトヤスミ
休む	ヤスム	ヤスム
つもり	ツモリ	ツモリ
で	デ	デ
、	、	、
糸	イト	イト
の	ノ	ノ
中途	チュウト	チュート
に	ニ	ニ
ぶら下り	ブラサガリ	ブラサガリ
ながら	ナガラ	ナガラ
、	、	、
遥か	ハルカ	ハルカ
に	ニ	ニ
目	メ	メ
の	ノ	ノ
下	シタ	シタ
を	ヲ	オ
見下し	ミクダシ	ミクダシ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
する	スル	スル
と	ト	ト
、	、	、
一生	イッショウ	イッショー
懸命	ケンメイ	ケンメー
に	ニ	ニ
のぼっ	ノボッ	ノボッ
た	タ	タ
甲斐	カイ	カイ
が	ガ	ガ
あっ	アッ	アッ
て	テ	テ
、	、	、
さっき	サッキ	サッキ
まで	マデ	マデ
自分	ジブン	ジブン
が	ガ	ガ
い	イ	イ
た	タ	タ
血の池	チノイケ	チノイケ
は	ハ	ワ
、	、	、
今	イマ	イマ
で	デ	デ
は	ハ	ワ
もう	モウ	モー
暗	ヤミ	ヤミ
の	ノ	ノ
底	ソコ	ソコ
に	ニ	ニ
いつ	イツ	イツ
の	ノ	ノ
間	アイダ	アイダ
に	ニ	ニ
か	カ	カ
かくれ	カクレ	カクレ
て	テ	テ
居り	オリ	オリ
ます	マス	マス
。	。	。
EOS
それ	ソレ	ソレ
から	カラ	カラ
あの	アノ	アノ
ぼんやり	ボンヤリ	ボンヤリ
光っ	ヒカッ	ヒカッ
て	テ	テ
いる	イル	イル
恐しい	オソロシイ	オソロシー
針	ハリ	ハリ
の	ノ	ノ
山	ヤマ	ヤマ
も	モ	モ
、	、	、
足	アシ	アシ
の	ノ	ノ
下	シタ	シタ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
この	コノ	コノ
分	ブン	ブン
で	デ	デ
のぼっ	ノボッ	ノボッ
て	テ	テ
行け	イケ	イケ
ば	バ	バ
、	、	、
地獄	ジゴク	ジゴク
から	カラ	カラ
ぬけ出す	ヌケダス	ヌケダス
の	ノ	ノ
も	モ	モ
、	、	、
存外	ゾンガイ	ゾンガイ
わけ	ワケ	ワケ
が	ガ	ガ
ない	ナイ	ナイ
か	カ	カ
も	モ	モ
知れ	シレ	シレ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
犍陀多	カンダタ	カンダタ
は	ハ	ワ
両手	リョウテ	リョーテ
を	ヲ	オ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
に	ニ	ニ
からみ	カラミ	カラミ
ながら	ナガラ	ナガラ
、	、	、
ここ	ココ	ココ
へ	ヘ	エ
来	キ	キ
て	テ	テ
から	カラ	カラ
何	ナン	ナン
年	ネン	ネン
に	ニ	ニ
も	モ	モ
出し	ダシ	ダシ
た	タ	タ
事	コト	コト
の	ノ	ノ
ない	ナイ	ナイ
声	コエ	コエ
で	デ	デ
、	、	、
「	「	「
しめた	シメタ	シメタ
。	。	。
EOS
しめた	シメタ	シメタ
。	。	。
EOS
」	」	」
と	ト	ト
笑い	ワライ	ワライ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ところ	トコロ	トコロ
が	ガ	ガ
ふと	フト	フト
気	キ	キ
が	ガ	ガ
つき	ツキ	ツキ
ます	マス	マス
と	ト	ト
、	、	、
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
の	ノ	ノ
下	シタ	シタ
の	ノ	ノ
方	ホウ	ホー
に	ニ	ニ
は	ハ	ワ
、	、	、
数	カズ	カズ
限	カギリ	カギリ
も	モ	モ
ない	ナイ	ナイ
罪人	ザイニン	ザイニン
たち	タチ	タチ
が	ガ	ガ
、	、	、
自分	ジブン	ジブン
の	ノ	ノ
のぼっ	ノボッ	ノボッ
た	タ	タ
後	アト	アト
を	ヲ	オ
つけ	ツケ	ツケ
て	テ	テ
、	、	、
まるで	マルデ	マルデ
蟻	アリ	アリ
の	ノ	ノ
行列	ギョウレツ	ギョーレツ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
、	、	、
やはり	ヤハリ	ヤハリ
上	ウエ	ウエ
へ	ヘ	エ
上	ウエ	ウエ
へ	ヘ	エ
一心	イッシン	イッシン
に	ニ	ニ
よじのぼっ	ヨジノボッ	ヨジノボッ
て	テ	テ
来る	クル	クル
で	デ	デ
は	ハ	ワ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
か	カ	カ
。	。	。
EOS
犍陀多	カンダタ	カンダタ
は	ハ	ワ
これ	コレ	コレ
を	ヲ	オ
見る	ミル	ミル
と	ト	ト
、	、	、
驚い	オドロイ	オドロイ
た	タ	タ
の	ノ	ノ
と	ト	ト
恐しい	オソロシイ	オソロシー
の	ノ	ノ
