手袋	テブクロ	テブクロ
陽	ヒ	ヒ
さま	サマ	サマ
が	ガ	ガ
キラキラ	キラキラ	キラキラ
と	ト	ト
照し	テラシ	テラシ
て	テ	テ
い	イ	イ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
雪	ユキ	ユキ
は	ハ	ワ
眩しい	マブシイ	マブシー
ほど	ホド	ホド
反射	ハンシャ	ハンシャ
し	シ	シ
て	テ	テ
い	イ	イ
た	タ	タ
の	ノ	ノ
です	デス	デス
。	。	。
EOS
雪	ユキ	ユキ
を	ヲ	オ
知ら	シラ	シラ
なかっ	ナカッ	ナカッ
た	タ	タ
子供	コドモ	コドモ
の	ノ	ノ
狐	キツネ	キツネ
は	ハ	ワ
、	、	、
あまり	アマリ	アマリ
強い	ツヨイ	ツヨイ
反射	ハンシャ	ハンシャ
を	ヲ	オ
うけ	ウケ	ウケ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
眼	メ	メ
に	ニ	ニ
何	ナニ	ナニ
か	カ	カ
刺さっ	ササッ	ササッ
た	タ	タ
と	ト	ト
思っ	オモッ	オモッ
た	タ	タ
の	ノ	ノ
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
子供	コドモ	コドモ
の	ノ	ノ
狐	キツネ	キツネ
は	ハ	ワ
遊び	アソビ	アソビ
に	ニ	ニ
行き	イキ	イキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
真綿	マワタ	マワタ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
柔かい	ヤワラカイ	ヤワラカイ
雪	ユキ	ユキ
の	ノ	ノ
上	ウエ	ウエ
を	ヲ	オ
駈け	カケ	カケ
廻る	マワル	マワル
と	ト	ト
、	、	、
雪	ユキ	ユキ
の	ノ	ノ
粉	コナ	コナ
が	ガ	ガ
、	、	、
しぶき	シブキ	シブキ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
飛び散っ	トビチッ	トビチッ
て	テ	テ
小さい	チイサイ	チーサイ
虹	ニジ	ニジ
が	ガ	ガ
すっ	スッ	スッ
と	ト	ト
映る	ウツル	ウツル
の	ノ	ノ
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
する	スル	スル
と	ト	ト
突然	トツゼン	トツゼン
、	、	、
うしろ	ウシロ	ウシロ
で	デ	デ
、	、	、
EOS
「	「	「
どたどた	ドタドタ	ドタドタ
、	、	、
ざーっ	ザアッ	ザーッ
」	」	」
と	ト	ト
物凄い	モノスゴイ	モノスゴイ
音	オト	オト
が	ガ	ガ
し	シ	シ
て	テ	テ
、	、	、
パン	パン	パン
粉	コ	コ
の	ノ	ノ
よう	ヨウ	ヨー
な	ナ	ナ
粉雪	コナユキ	コナユキ
が	ガ	ガ
、	、	、
ふわーっ	フワーッ	フワーッ
と	ト	ト
子狐	コギツネ	コギツネ
に	ニ	ニ
おっかぶさっ	オッカブサッ	オッカブサッ
て	テ	テ
来	キ	キ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子狐	コギツネ	コギツネ
は	ハ	ワ
びっくり	ビックリ	ビックリ
し	シ	シ
て	テ	テ
、	、	、
雪	ユキ	ユキ
の	ノ	ノ
中	ナカ	ナカ
に	ニ	ニ
ころがる	コロガル	コロガル
よう	ヨウ	ヨー
に	ニ	ニ
し	シ	シ
て	テ	テ
十	ジュウ	ジュー
米	メートル	メートル
も	モ	モ
向こう	ムコウ	ムコー
へ	ヘ	エ
逃げ	ニゲ	ニゲ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
何	ナン	ナン
だろう	ダロウ	ダロー
と	ト	ト
思っ	オモッ	オモッ
て	テ	テ
ふり返っ	フリカエッ	フリカエッ
て	テ	テ
見	ミ	ミ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
何	ナニ	ナニ
も	モ	モ
い	イ	イ
ませ	マセ	マセ
ん	ン	ン
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
それ	ソレ	ソレ
は	ハ	ワ
樅	モミ	モミ
の	ノ	ノ
枝	エダ	エダ
から	カラ	カラ
雪	ユキ	ユキ
が	ガ	ガ
なだれ落ち	ナダレオチ	ナダレオチ
た	タ	タ
の	ノ	ノ
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
まだ	マダ	マダ
枝	エダ	エダ
と	ト	ト
枝	エダ	エダ
の	ノ	ノ
間	アイダ	アイダ
から	カラ	カラ
白い	シロイ	シロイ
絹糸	キヌイト	キヌイト
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
雪	ユキ	ユキ
が	ガ	ガ
こぼれ	コボレ	コボレ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
間	マ	マ
も	モ	モ
なく	ナク	ナク
洞穴	ホラアナ	ホラアナ
へ	ヘ	エ
帰っ	カエッ	カエッ
て	テ	テ
来	キ	キ
た	タ	タ
子狐	コギツネ	コギツネ
は	ハ	ワ
、	、	、
EOS
「	「	「
お	オ	オ
母	カア	カー
ちゃん	チャン	チャン
、	、	、
お	オ	オ
手々	テテ	テテ
が	ガ	ガ
冷たい	ツメタイ	ツメタイ
、	、	、
お	オ	オ
手々	テテ	テテ
が	ガ	ガ
ちんちん	チンチン	チンチン
する	スル	スル
」	」	」
と	ト	ト
言っ	イッ	イッ
て	テ	テ
、	、	、
濡れ	ヌレ	ヌレ
て	テ	テ
牡丹	ボタン	ボタン
色	イロ	イロ
に	ニ	ニ
なっ	ナッ	ナッ
た	タ	タ
両手	リョウテ	リョーテ
を	ヲ	オ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
の	ノ	ノ
前	マエ	マエ
に	ニ	ニ
さしだし	サシダシ	サシダシ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
、	、	、
その	ソノ	ソノ
手	テ	テ
に	ニ	ニ
、	、	、
はーー	ハーー	ハー
っと	ット	ット
息	イキ	イキ
を	ヲ	オ
ふっかけ	フッカケ	フッカケ
て	テ	テ
、	、	、
ぬくとい	ヌクトイ	ヌクトイ
母	カア	カー
さん	サン	サン
の	ノ	ノ
手	テ	テ
で	デ	デ
やんわり	ヤンワリ	ヤンワリ
包ん	ツツン	ツツン
で	デ	デ
やり	ヤリ	ヤリ
ながら	ナガラ	ナガラ
、	、	、
EOS
「	「	「
もう	モウ	モー
すぐ	スグ	スグ
暖く	アタタカク	アタタカク
なる	ナル	ナル
よ	ヨ	ヨ
、	、	、
雪	ユキ	ユキ
を	ヲ	オ
さわる	サワル	サワル
と	ト	ト
、	、	、
すぐ	スグ	スグ
暖く	アタタカク	アタタカク
なる	ナル	ナル
もん	モン	モン
だ	ダ	ダ
よ	ヨ	ヨ
」	」	」
と	ト	ト
いい	イイ	イー
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
かあ	カア	カー
いい	イイ	イー
坊や	ボウヤ	ボーヤ
の	ノ	ノ
手	テ	テ
に	ニ	ニ
霜焼	シモヤケ	シモヤケ
が	ガ	ガ
でき	デキ	デキ
て	テ	テ
は	ハ	ワ
かわいそう	カワイソウ	カワイソー
だ	ダ	ダ
から	カラ	カラ
、	、	、
夜	ヨル	ヨル
に	ニ	ニ
なっ	ナッ	ナッ
たら	タラ	タラ
、	、	、
町	マチ	マチ
まで	マデ	マデ
行っ	イッ	イッ
て	テ	テ
、	、	、
坊や	ボウヤ	ボーヤ
の	ノ	ノ
お	オ	オ
手々	テテ	テテ
に	ニ	ニ
あう	アウ	アウ
よう	ヨウ	ヨー
な	ナ	ナ
毛糸	ケイト	ケイト
の	ノ	ノ
手袋	テブクロ	テブクロ
を	ヲ	オ
買っ	カッ	カッ
て	テ	テ
やろう	ヤロウ	ヤロー
と	ト	ト
思い	オモイ	オモイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
暗い	クライ	クライ
暗い	クライ	クライ
夜	ヨル	ヨル
が	ガ	ガ
風呂敷	フロシキ	フロシキ
の	ノ	ノ
よう	ヨウ	ヨー
な	ナ	ナ
影	カゲ	カゲ
を	ヲ	オ
ひろげ	ヒロゲ	ヒロゲ
て	テ	テ
野原	ノハラ	ノハラ
や	ヤ	ヤ
森	モリ	モリ
を	ヲ	オ
包み	ツツミ	ツツミ
に	ニ	ニ
やっ	ヤッ	ヤッ
て	テ	テ
来	キ	キ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
雪	ユキ	ユキ
は	ハ	ワ
あまり	アマリ	アマリ
白い	シロイ	シロイ
の	ノ	ノ
で	デ	デ
、	、	、
包ん	ツツン	ツツン
で	デ	デ
も	モ	モ
包ん	ツツン	ツツン
で	デ	デ
も	モ	モ
白く	シロク	シロク
浮びあがっ	ウカビアガッ	ウカビアガッ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
親子	オヤコ	オヤコ
の	ノ	ノ
銀狐	ギンギツネ	ギンギツネ
は	ハ	ワ
洞穴	ホラアナ	ホラアナ
から	カラ	カラ
出	デ	デ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子供	コドモ	コドモ
の	ノ	ノ
方	ホウ	ホー
は	ハ	ワ
お	オ	オ
母	カア	カー
さん	サン	サン
の	ノ	ノ
お腹	オナカ	オナカ
の	ノ	ノ
下	シタ	シタ
へ	ヘ	エ
はいりこん	ハイリコン	ハイリコン
で	デ	デ
、	、	、
そこ	ソコ	ソコ
から	カラ	カラ
まんまる	マンマル	マンマル
な	ナ	ナ
眼	メ	メ
を	ヲ	オ
ぱちぱち	パチパチ	パチパチ
さ	サ	サ
せ	セ	セ
ながら	ナガラ	ナガラ
、	、	、
あっち	アッチ	アッチ
や	ヤ	ヤ
こっち	コッチ	コッチ
を	ヲ	オ
見	ミ	ミ
ながら	ナガラ	ナガラ
歩い	アルイ	アルイ
て	テ	テ
行き	イキ	イキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
やが	ヤガ	ヤガ
て	テ	テ
、	、	、
行手	ユクテ	ユクテ
に	ニ	ニ
ぽっつり	ポッツリ	ポッツリ
あかり	アカリ	アカリ
が	ガ	ガ
一	ヒト	ヒト
つ	ツ	ツ
見え	ミエ	ミエ
始め	ハジメ	ハジメ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
それ	ソレ	ソレ
を	ヲ	オ
子供	コドモ	コドモ
の	ノ	ノ
狐	キツネ	キツネ
が	ガ	ガ
見つけ	ミツケ	ミツケ
て	テ	テ
、	、	、
EOS
「	「	「
母	カア	カー
ちゃん	チャン	チャン
、	、	、
お	オ	オ
星	ホシ	ホシ
さま	サマ	サマ
は	ハ	ワ
、	、	、
あんな	アンナ	アンナ
低い	ヒクイ	ヒクイ
ところ	トコロ	トコロ
に	ニ	ニ
も	モ	モ
落ち	オチ	オチ
てる	テル	テル
の	ノ	ノ
ねえ	ネエ	ネー
」	」	」
と	ト	ト
きき	キキ	キキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
あれ	アレ	アレ
は	ハ	ワ
お	オ	オ
星	ホシ	ホシ
さま	サマ	サマ
じゃ	ジャ	ジャ
ない	ナイ	ナイ
の	ノ	ノ
よ	ヨ	ヨ
」	」	」
と	ト	ト
言っ	イッ	イッ
て	テ	テ
、	、	、
その	ソノ	ソノ
時	トキ	トキ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
の	ノ	ノ
足	アシ	アシ
は	ハ	ワ
すくん	スクン	スクン
で	デ	デ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
あれ	アレ	アレ
は	ハ	ワ
町	マチ	マチ
の	ノ	ノ
灯	ヒ	ヒ
な	ナ	ナ
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
」	」	」
EOS
その	ソノ	ソノ
町	マチ	マチ
の	ノ	ノ
灯	ヒ	ヒ
を	ヲ	オ
見	ミ	ミ
た	タ	タ
時	トキ	トキ
、	、	、
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
、	、	、
ある	アル	アル
時	トキ	トキ
町	マチ	マチ
へ	ヘ	エ
お	オ	オ
友達	トモダチ	トモダチ
と	ト	ト
出かけ	デカケ	デカケ
て	テ	テ
行っ	イッ	イッ
て	テ	テ
、	、	、
と	ト	ト
ん	ン	ン
だめ	ダメ	ダメ
に	ニ	ニ
あっ	アッ	アッ
た	タ	タ
こと	コト	コト
を	ヲ	オ
思出し	オモイダシ	オモイダシ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
お	オ	オ
よし	ヨシ	ヨシ
なさい	ナサイ	ナサイ
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
も	モ	モ
きか	キカ	キカ
ない	ナイ	ナイ
で	デ	デ
、	、	、
お	オ	オ
友達	トモダチ	トモダチ
の	ノ	ノ
狐	キツネ	キツネ
が	ガ	ガ
、	、	、
或る	アル	アル
家	イエ	イエ
の	ノ	ノ
家鴨	アヒル	アヒル
を	ヲ	オ
盗もう	ヌスモウ	ヌスモー
と	ト	ト
し	シ	シ
た	タ	タ
の	ノ	ノ
で	デ	デ
、	、	、
お	オ	オ
百姓	ヒャクショウ	ヒャクショー
に	ニ	ニ
見つかっ	ミツカッ	ミツカッ
て	テ	テ
、	、	、
さんざ	サンザ	サンザ
追い	オイ	オイ
まくら	マクラ	マクラ
れ	レ	レ
て	テ	テ
、	、	、
命	イノチ	イノチ
からがら	カラガラ	カラガラ
逃げ	ニゲ	ニゲ
た	タ	タ
こと	コト	コト
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
「	「	「
母	カア	カー
ちゃん	チャン	チャン
何	ナニ	ナニ
し	シ	シ
てん	テン	テン
の	ノ	ノ
、	、	、
早く	ハヤク	ハヤク
行こう	イコウ	イコー
よ	ヨ	ヨ
」	」	」
と	ト	ト
子供	コドモ	コドモ
の	ノ	ノ
狐	キツネ	キツネ
が	ガ	ガ
お腹	オナカ	オナカ
の	ノ	ノ
下	シタ	シタ
から	カラ	カラ
言う	イウ	イウ
の	ノ	ノ
でし	デシ	デシ
た	タ	タ
が	ガ	ガ
、	、	、
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
どう	ドウ	ドー
し	シ	シ
て	テ	テ
も	モ	モ
足	アシ	アシ
が	ガ	ガ
すすま	ススマ	ススマ
ない	ナイ	ナイ
の	ノ	ノ
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
、	、	、
しかた	シカタ	シカタ
が	ガ	ガ
ない	ナイ	ナイ
の	ノ	ノ
で	デ	デ
、	、	、
坊や	ボウヤ	ボーヤ
だけ	ダケ	ダケ
を	ヲ	オ
一人	ヒトリ	ヒトリ
で	デ	デ
町	マチ	マチ
まで	マデ	マデ
行か	イカ	イカ
せる	セル	セル
こと	コト	コト
に	ニ	ニ
なり	ナリ	ナリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
坊	ボウ	ボー
や	ヤ	ヤ
お	オ	オ
手々	テテ	テテ
を	ヲ	オ
片方	カタホウ	カタホー
お	オ	オ
出し	ダシ	ダシ
」	」	」
と	ト	ト
お	オ	オ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
が	ガ	ガ
いい	イイ	イー
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
その	ソノ	ソノ
手	テ	テ
を	ヲ	オ
、	、	、
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
しばらく	シバラク	シバラク
握っ	ニギッ	ニギッ
て	テ	テ
いる	イル	イル
間	アイダ	アイダ
に	ニ	ニ
、	、	、
可愛いい	カワイイ	カワイー
人間	ニンゲン	ニンゲン
の	ノ	ノ
子供	コドモ	コドモ
の	ノ	ノ
手	テ	テ
に	ニ	ニ
し	シ	シ
て	テ	テ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
坊や	ボウヤ	ボーヤ
の	ノ	ノ
狐	キツネ	キツネ
は	ハ	ワ
その	ソノ	ソノ
手	テ	テ
を	ヲ	オ
ひろげ	ヒロゲ	ヒロゲ
たり	タリ	タリ
握っ	ニギッ	ニギッ
たり	タリ	タリ
、	、	、
抓っ	ツネッ	ツネッ
て	テ	テ
見	ミ	ミ
たり	タリ	タリ
、	、	、
嗅い	カイ	カイ
で	デ	デ
見	ミ	ミ
たり	タリ	タリ
し	シ	シ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
何	ナン	ナン
だ	ダ	ダ
か	カ	カ
変	ヘン	ヘン
だ	ダ	ダ
な	ナ	ナ
母	カア	カー
ちゃん	チャン	チャン
、	、	、
これ	コレ	コレ
なあに	ナアニ	ナーニ
？	？	？
EOS
」	」	」
と	ト	ト
言っ	イッ	イッ
て	テ	テ
、	、	、
雪あかり	ユキアカリ	ユキアカリ
に	ニ	ニ
、	、	、
また	マタ	マタ
その	ソノ	ソノ
、	、	、
人間	ニンゲン	ニンゲン
の	ノ	ノ
手	テ	テ
に	ニ	ニ
変え	カエ	カエ
られ	ラレ	ラレ
て	テ	テ
しまっ	シマッ	シマッ
た	タ	タ
自分	ジブン	ジブン
の	ノ	ノ
手	テ	テ
を	ヲ	オ
しげしげ	シゲシゲ	シゲシゲ
と	ト	ト
見つめ	ミツメ	ミツメ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
それ	ソレ	ソレ
は	ハ	ワ
人間	ニンゲン	ニンゲン
の	ノ	ノ
手	テ	テ
よ	ヨ	ヨ
。	。	。
EOS
いい	イイ	イー
か	カ	カ
い	イ	イ
坊や	ボウヤ	ボーヤ
、	、	、
町	マチ	マチ
へ	ヘ	エ
行っ	イッ	イッ
たら	タラ	タラ
ね	ネ	ネ
、	、	、
たくさん	タクサン	タクサン
人間	ニンゲン	ニンゲン
の	ノ	ノ
家	イエ	イエ
が	ガ	ガ
ある	アル	アル
から	カラ	カラ
ね	ネ	ネ
、	、	、
まず	マズ	マズ
表	オモテ	オモテ
に	ニ	ニ
円い	マルイ	マルイ
シャッポ	シャッポ	シャッポ
の	ノ	ノ
看板	カンバン	カンバン
の	ノ	ノ
かかっ	カカッ	カカッ
て	テ	テ
いる	イル	イル
家	イエ	イエ
を	ヲ	オ
探す	サガス	サガス
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
。	。	。
EOS
それ	ソレ	ソレ
が	ガ	ガ
見つかっ	ミツカッ	ミツカッ
たら	タラ	タラ
ね	ネ	ネ
、	、	、
トントン	トントン	トントン
と	ト	ト
戸	ト	ト
を	ヲ	オ
叩い	タタイ	タタイ
て	テ	テ
、	、	、
今晩は	コンバンハ	コンバンワ
って	ッテ	ッテ
言う	ユウ	ユー
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
。	。	。
EOS
そう	ソウ	ソー
する	スル	スル
と	ト	ト
ね	ネ	ネ
、	、	、
中	ナカ	ナカ
から	カラ	カラ
人間	ニンゲン	ニンゲン
が	ガ	ガ
、	、	、
すこうし	スコーシ	スコーシ
戸	ト	ト
を	ヲ	オ
あける	アケル	アケル
から	カラ	カラ
ね	ネ	ネ
、	、	、
その	ソノ	ソノ
戸	ト	ト
の	ノ	ノ
隙間	スキマ	スキマ
から	カラ	カラ
、	、	、
こっち	コッチ	コッチ
の	ノ	ノ
手	テ	テ
、	、	、
ほら	ホラ	ホラ
この	コノ	コノ
人間	ニンゲン	ニンゲン
の	ノ	ノ
手	テ	テ
を	ヲ	オ
さし入れ	サシイレ	サシイレ
て	テ	テ
ね	ネ	ネ
、	、	、
この	コノ	コノ
手	テ	テ
に	ニ	ニ
ちょうど	チョウド	チョード
いい	イイ	イー
手袋	テブクロ	テブクロ
頂戴	チョウダイ	チョーダイ
って	ッテ	ッテ
言う	ユウ	ユー
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
、	、	、
わかっ	ワカッ	ワカッ
た	タ	タ
ね	ネ	ネ
、	、	、
決して	ケッシテ	ケッシテ
、	、	、
こっち	コッチ	コッチ
の	ノ	ノ
お	オ	オ
手々	テテ	テテ
を	ヲ	オ
出し	ダシ	ダシ
ちゃ	チャ	チャ
駄目	ダメ	ダメ
よ	ヨ	ヨ
」	」	」
と	ト	ト
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
言いきかせ	イイキカセ	イーキカセ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
どう	ドウ	ドー
し	シ	シ
て	テ	テ
？	？	？
EOS
」	」	」
と	ト	ト
坊や	ボウヤ	ボーヤ
の	ノ	ノ
狐	キツネ	キツネ
は	ハ	ワ
ききかえし	キキカエシ	キキカエシ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
人間	ニンゲン	ニンゲン
は	ハ	ワ
ね	ネ	ネ
、	、	、
相手	アイテ	アイテ
が	ガ	ガ
狐	キツネ	キツネ
だ	ダ	ダ
と	ト	ト
解る	ワカル	ワカル
と	ト	ト
、	、	、
手袋	テブクロ	テブクロ
を	ヲ	オ
売っ	ウッ	ウッ
て	テ	テ
くれ	クレ	クレ
ない	ナイ	ナイ
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
、	、	、
それ	ソレ	ソレ
どころ	ドコロ	ドコロ
か	カ	カ
、	、	、
掴まえ	ツカマエ	ツカマエ
て	テ	テ
檻	オリ	オリ
の	ノ	ノ
中	ナカ	ナカ
へ	ヘ	エ
入れ	イレ	イレ
ちゃう	チャウ	チャウ
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
、	、	、
人間	ニンゲン	ニンゲン
って	ッテ	ッテ
ほんと	ホント	ホント
に	ニ	ニ
恐い	コワイ	コワイ
もの	モノ	モノ
な	ナ	ナ
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
」	」	」
EOS
「	「	「
ふーん	フウン	フーン
」	」	」
EOS
「	「	「
決して	ケッシテ	ケッシテ
、	、	、
こっち	コッチ	コッチ
の	ノ	ノ
手	テ	テ
を	ヲ	オ
出し	ダシ	ダシ
ちゃ	チャ	チャ
いけ	イケ	イケ
ない	ナイ	ナイ
よ	ヨ	ヨ
、	、	、
こっち	コッチ	コッチ
の	ノ	ノ
方	ホウ	ホー
、	、	、
ほら	ホラ	ホラ
人間	ニンゲン	ニンゲン
の	ノ	ノ
手	テ	テ
の	ノ	ノ
方	ホウ	ホー
を	ヲ	オ
さしだす	サシダス	サシダス
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
」	」	」
と	ト	ト
言っ	イッ	イッ
て	テ	テ
、	、	、
母	カア	カー
さん	サン	サン
の	ノ	ノ
狐	キツネ	キツネ
は	ハ	ワ
、	、	、
持っ	モッ	モッ
て	テ	テ
来	キ	キ
た	タ	タ
二	フタ	フタ
つ	ツ	ツ
の	ノ	ノ
白	ハク	ハク
銅貨	ドウカ	ドーカ
を	ヲ	オ
、	、	、
人間	ニンゲン	ニンゲン
の	ノ	ノ
手	テ	テ
の	ノ	ノ
方	ホウ	ホー
へ	ヘ	エ
握ら	ニギラ	ニギラ
せ	セ	セ
て	テ	テ
やり	ヤリ	ヤリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子供	コドモ	コドモ
の	ノ	ノ
狐	キツネ	キツネ
は	ハ	ワ
、	、	、
町	マチ	マチ
の	ノ	ノ
灯	ヒ	ヒ
を	ヲ	オ
目あて	メアテ	メアテ
に	ニ	ニ
、	、	、
雪あかり	ユキアカリ	ユキアカリ
の	ノ	ノ
野原	ノハラ	ノハラ
を	ヲ	オ
よちよち	ヨチヨチ	ヨチヨチ
やっ	ヤッ	ヤッ
て	テ	テ
行き	イキ	イキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
始め	ハジメ	ハジメ
の	ノ	ノ
うち	ウチ	ウチ
は	ハ	ワ
一	ヒト	ヒト
つ	ツ	ツ
きり	キリ	キリ
だっ	ダッ	ダッ
た	タ	タ
灯	ヒ	ヒ
が	ガ	ガ
二	フタ	フタ
つ	ツ	ツ
に	ニ	ニ
