J	ジェー	ジェー
し	シ	シ
て	テ	テ
は	ハ	ワ
英語	エイゴ	エーゴ
で	デ	デ
フリー	フリー	フリー
って	ッテ	ッテ
言っ	イッ	イッ
た	タ	タ
時	トキ	トキ
に	ニ	ニ
「	「	「
無料	ムリョウ	ムリョー
」	」	」
って	ッテ	ッテ
いう	ユウ	ユー
こと	コト	コト
意味	イミ	イミ
する	スル	スル
「	「	「
フリー	フリー	フリー
」	」	」
と	ト	ト
「	「	「
自由	ジユウ	ジユー
」	」	」
って	ッテ	ッテ
こと	コト	コト
意味	イミ	イミ
する	スル	スル
「	「	「
フリー	フリー	フリー
」	」	」
に	ニ	ニ
2	ニ	ニ
つ	ツ	ツ
に	ニ	ニ
分かれる	ワカレル	ワカレル
ん	ン	ン
です	デス	デス
けど	ケド	ケド
も	モ	モ
最近	サイキン	サイキン
日本	ニッポン	ニッポン
だ	ダ	ダ
と	ト	ト
どちら	ドチラ	ドチラ
か	カ	カ
と	ト	ト
いう	イウ	イウ
と	ト	ト
、	、	、
無料	ムリョウ	ムリョー
を	ヲ	オ
意味	イミ	イミ
する	スル	スル
フリー	フリー	フリー
と	ト	ト
いう	ユウ	ユー
事	コト	コト
の	ノ	ノ
方	ホウ	ホー
が	ガ	ガ
有名	ユウメイ	ユーメー
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
いる	イル	イル
の	ノ	ノ
か	カ	カ
な	ナ	ナ
と	ト	ト
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
無料	ムリョウ	ムリョー
じゃ	ジャ	ジャ
なく	ナク	ナク
て	テ	テ
自由	ジユウ	ジユー
って	ッテ	ッテ
いう	ユウ	ユー
価値	カチ	カチ
を	ヲ	オ
インターネット	インターネット	インターネット
は	ハ	ワ
もともと	モトモト	モトモト
持っ	モッ	モッ
て	テ	テ
い	イ	イ
て	テ	テ
それ	ソレ	ソレ
を	ヲ	オ
守る	マモル	マモル
こと	コト	コト
こそ	コソ	コソ
が	ガ	ガ
、	、	、
今	イマ	イマ
重要	ジュウヨウ	ジューヨー
な	ナ	ナ
ん	ン	ン
だ	ダ	ダ
って	ッテ	ッテ
いう	ユウ	ユー
こと	コト	コト
を	ヲ	オ
主張	シュチョウ	シュチョー
し	シ	シ
たく	タク	タク
て	テ	テ
今回	コンカイ	コンカイ
この	コノ	コノ
本	ホン	ホン
を	ヲ	オ
書き	カキ	カキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
インターネット	インターネット	インターネット
上	ジョウ	ジョー
の	ノ	ノ
私	ワタクシ	ワタクシ
たち	タチ	タチ
みんな	ミンナ	ミンナ
の	ノ	ノ
自由	ジユウ	ジユー
。	。	。
EOS
なる	ナル	ナル
ほど	ホド	ホド
ね	ネ	ネ
。	。	。
EOS
インターネット	インターネット	インターネット
、	、	、
よく	ヨク	ヨク
言わ	イワ	イワ
れ	レ	レ
ます	マス	マス
よ	ヨ	ヨ
ね	ネ	ネ
。	。	。
EOS
「	「	「
私	ワタクシ	ワタクシ
たち	タチ	タチ
は	ハ	ワ
常	ツネ	ツネ
に	ニ	ニ
監視	カンシ	カンシ
さ	サ	サ
れ	レ	レ
て	テ	テ
いる	イル	イル
」	」	」
と	ト	ト
か	カ	カ
、	、	、
「	「	「
私	ワタクシ	ワタクシ
たち	タチ	タチ
は	ハ	ワ
意識	イシキ	イシキ
が	ガ	ガ
好み	コノミ	コノミ
など	ナド	ナド
も	モ	モ
、	、	、
ネット	ネット	ネット
に	ニ	ニ
よっ	ヨッ	ヨッ
て	テ	テ
コントロール	コントロール	コントロール
さ	サ	サ
れ	レ	レ
て	テ	テ
いる	イル	イル
」	」	」
。	。	。
EOS
ちょっと	チョット	チョット
不穏	フオン	フオン
な	ナ	ナ
感じ	カンジ	カンジ
も	モ	モ
し	シ	シ
ます	マス	マス
。	。	。
EOS
けれど	ケレド	ケレド
、	、	、
「	「	「
インターネット	インターネット	インターネット
と	ト	ト
それ	ソレ	ソレ
が	ガ	ガ
もたらす	モタラス	モタラス
世界	セカイ	セカイ
と	ト	ト
いう	ユウ	ユー
の	ノ	ノ
は	ハ	ワ
そもそも	ソモソモ	ソモソモ
とても	トテモ	トテモ
自由	ジユウ	ジユー
で	デ	デ
フリー	フリー	フリー
な	ナ	ナ
マインド	マインド	マインド
から	カラ	カラ
始まっ	ハジマッ	ハジマッ
て	テ	テ
い	イ	イ
た	タ	タ
ん	ン	ン
だ	ダ	ダ
よ	ヨ	ヨ
」	」	」
と	ト	ト
ドミニク	ドミニク	ドミニク
さん	サン	サン
は	ハ	ワ
語り	カタリ	カタリ
ます	マス	マス
。	。	。
EOS
もともと	モトモト	モトモト
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
の	ノ	ノ
起源	キゲン	キゲン
みたい	ミタイ	ミタイ
な	ナ	ナ
もの	モノ	モノ
を	ヲ	オ
辿っ	タドッ	タドッ
て	テ	テ
みる	ミル	ミル
と	ト	ト
、	、	、
まあ	マア	マー
アメリカ	アメリカ	アメリカ
の	ノ	ノ
1	イチ	イチ
9	キュウ	キュー
7	ナナ	ナナ
0	ゼロ	ゼロ
年	ネン	ネン
代	ダイ	ダイ
から	カラ	カラ
1	イチ	イチ
9	キュウ	キュー
8	ハチ	ハチ
0	ゼロ	ゼロ
年	ネン	ネン
代	ダイ	ダイ
に	ニ	ニ
かけ	カケ	カケ
て	テ	テ
起こっ	オコッ	オコッ
た	タ	タ
現象	ゲンショウ	ゲンショー
だっ	ダッ	ダッ
た	タ	タ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
で	デ	デ
、	、	、
そもそも	ソモソモ	ソモソモ
ソフトウェア	ソフトウェア	ソフトウェア
を	ヲ	オ
作る	ツクル	ツクル
って	ッテ	ッテ
いう	ユウ	ユー
文化	ブンカ	ブンカ
が	ガ	ガ
非常	ヒジョウ	ヒジョー
に	ニ	ニ
こう	コウ	コー
自由	ジユウ	ジユー
な	ナ	ナ
文化	ブンカ	ブンカ
と	ト	ト
いう	イウ	イウ
か	カ	カ
アメリカ	アメリカ	アメリカ
の	ノ	ノ
西	ニシ	ニシ
海岸	カイガン	カイガン
の	ノ	ノ
ヒッピー	ヒッピー	ヒッピー
カルチャー	カルチャー	カルチャー
と	ト	ト
か	カ	カ
そう	ソウ	ソー
言っ	イッ	イッ
た	タ	タ
もの	モノ	モノ
を	ヲ	オ
継承	ケイショウ	ケーショー
し	シ	シ
て	テ	テ
、	、	、
で	デ	デ
、	、	、
とにかく	トニカク	トニカク
エンジニア	エンジニア	エンジニア
の	ノ	ノ
人	ヒト	ヒト
が	ガ	ガ
作っ	ツクッ	ツクッ
た	タ	タ
ソフトウェア	ソフトウェア	ソフトウェア
を	ヲ	オ
、	、	、
みんな	ミンナ	ミンナ
の	ノ	ノ
もの	モノ	モノ
と	ト	ト
し	シ	シ
て	テ	テ
共有	キョウユウ	キョーユー
し	シ	シ
て	テ	テ
しまい	シマイ	シマイ
ましょう	マショウ	マショー
と	ト	ト
。	。	。
EOS
そう	ソウ	ソー
いう	ユウ	ユー
文化	ブンカ	ブンカ
が	ガ	ガ
あっ	アッ	アッ
た	タ	タ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
で	デ	デ
、	、	、
8	ハチ	ハチ
0	ゼロ	ゼロ
年	ネン	ネン
代	ダイ	ダイ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
くる	クル	クル
と	ト	ト
、	、	、
そこ	ソコ	ソコ
に	ニ	ニ
企業	キギョウ	キギョー
と	ト	ト
か	カ	カ
も	モ	モ
入っ	ハイッ	ハイッ
て	テ	テ
き	キ	キ
て	テ	テ
、	、	、
いや	イヤ	イヤ
ソフトウェア	ソフトウェア	ソフトウェア
って	ッテ	ッテ
の	ノ	ノ
は	ハ	ワ
もっと	モット	モット
ビジネス	ビジネス	ビジネス
と	ト	ト
し	シ	シ
て	テ	テ
守っ	マモッ	マモッ
て	テ	テ
いか	イカ	イカ
なきゃ	ナキャ	ナキャ
いけ	イケ	イケ
いけ	イケ	イケ
ない	ナイ	ナイ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
で	デ	デ
、	、	、
お	オ	オ
互い	タガイ	タガイ
を	ヲ	オ
自由	ジユウ	ジユー
に	ニ	ニ
交換	コウカン	コーカン
し	シ	シ
合え	アエ	アエ
なく	ナク	ナク
なっ	ナッ	ナッ
て	テ	テ
き	キ	キ
た	タ	タ
と	ト	ト
。	。	。
EOS
で	デ	デ
、	、	、
そう	ソウ	ソー
いう	ユウ	ユー
時	トキ	トキ
に	ニ	ニ
、	、	、
いや	イヤ	イヤ
その	ソノ	ソノ
自由	ジユウ	ジユー
を	ヲ	オ
守る	マモル	マモル
べき	ベキ	ベキ
だ	ダ	ダ
と	ト	ト
いう	ユウ	ユー
人	ヒト	ヒト
たち	タチ	タチ
が	ガ	ガ
立ち上がっ	タチアガッ	タチアガッ
て	テ	テ
起こっ	オコッ	オコッ
た	タ	タ
の	ノ	ノ
が	ガ	ガ
いわゆる	イワユル	イワユル
フリー	フリー	フリー
ソフトウェア	ソフトウェア	ソフトウェア
の	ノ	ノ
運動	ウンドウ	ウンドー
だっ	ダッ	ダッ
た	タ	タ
ん	ン	ン
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
で	デ	デ
、	、	、
そこ	ソコ	ソコ
で	デ	デ
著作	チョサク	チョサク
権	ケン	ケン
と	ト	ト
いう	ユウ	ユー
もの	モノ	モノ
が	ガ	ガ
発生	ハッセイ	ハッセー
し	シ	シ
て	テ	テ
しまっ	シマッ	シマッ
て	テ	テ
、	、	、
で	デ	デ
、	、	、
それ	ソレ	ソレ
を	ヲ	オ
勝手	カッテ	カッテ
に	ニ	ニ
お	オ	オ
互い	タガイ	タガイ
使っ	ツカッ	ツカッ
て	テ	テ
しまう	シマウ	シマウ
と	ト	ト
法律	ホウリツ	ホーリツ
に	ニ	ニ
反し	ハンシ	ハンシ
て	テ	テ
しまう	シマウ	シマウ
と	ト	ト
か	カ	カ
、	、	、
あと	アト	アト
企業	キギョウ	キギョー
に	ニ	ニ
訴え	ウッタエ	ウッタエ
られ	ラレ	ラレ
て	テ	テ
しまう	シマウ	シマウ
と	ト	ト
いう	ユウ	ユー
よう	ヨウ	ヨー
な	ナ	ナ
状況	ジョウキョウ	ジョーキョー
に	ニ	ニ
対し	タイシ	タイシ
て	テ	テ
、	、	、
いや	イヤ	イヤ
そこ	ソコ	ソコ
を	ヲ	オ
こう	コウ	コー
システム	システム	システム
変え	カエ	カエ
て	テ	テ
しまう	シマウ	シマウ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
で	デ	デ
、	、	、
新しい	アタラシイ	アタラシー
著作	チョサク	チョサク
権	ケン	ケン
の	ノ	ノ
仕組み	シクミ	シクミ
みたい	ミタイ	ミタイ
な	ナ	ナ
もの	モノ	モノ
が	ガ	ガ
生み出さ	ウミダサ	ウミダサ
れ	レ	レ
た	タ	タ
と	ト	ト
。	。	。
EOS
で	デ	デ
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
コピー	コピー	コピー
レフト	レフト	レフト
と	ト	ト
呼ば	ヨバ	ヨバ
れ	レ	レ
て	テ	テ
た	タ	タ
もの	モノ	モノ
だっ	ダッ	ダッ
た	タ	タ
ん	ン	ン
です	デス	デス
。	。	。
EOS
で	デ	デ
、	、	、
コピー	コピー	コピー
レフト	レフト	レフト
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
が	ガ	ガ
、	、	、
コピーライト	コピーライト	コピーライト
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
は	ハ	ワ
つまり	ツマリ	ツマリ
著作	チョサク	チョサク
権	ケン	ケン
の	ノ	ノ
こと	コト	コト
な	ナ	ナ
ん	ン	ン
です	デス	デス
けど	ケド	ケド
も	モ	モ
、	、	、
その	ソノ	ソノ
反対	ハンタイ	ハンタイ
語	ゴ	ゴ
みたい	ミタイ	ミタイ
な	ナ	ナ
もの	モノ	モノ
で	デ	デ
、	、	、
作っ	ツクッ	ツクッ
た	タ	タ
人	ヒト	ヒト
が	ガ	ガ
誰	ダレ	ダレ
か	カ	カ
って	ッテ	ッテ
いう	ユウ	ユー
の	ノ	ノ
は	ハ	ワ
、	、	、
もちろん	モチロン	モチロン
守る	マモル	マモル
ん	ン	ン
だ	ダ	ダ
けれど	ケレド	ケレド
も	モ	モ
、	、	、
それ	ソレ	ソレ
を	ヲ	オ
誰	ダレ	ダレ
で	デ	デ
も	モ	モ
自由	ジユウ	ジユー
に	ニ	ニ
勝手	カッテ	カッテ
に	ニ	ニ
使っ	ツカッ	ツカッ
て	テ	テ
いい	イイ	イー
よ	ヨ	ヨ
、	、	、
と	ト	ト
。	。	。
EOS
で	デ	デ
、	、	、
勝手	カッテ	カッテ
に	ニ	ニ
使っ	ツカッ	ツカッ
て	テ	テ
いい	イイ	イー
ん	ン	ン
だ	ダ	ダ
けれど	ケレド	ケレド
も	モ	モ
、	、	、
その	ソノ	ソノ
勝手	カッテ	カッテ
に	ニ	ニ
使っ	ツカッ	ツカッ
た	タ	タ
結果	ケッカ	ケッカ
、	、	、
新しく	アタラシク	アタラシク
生み出さ	ウミダサ	ウミダサ
れ	レ	レ
た	タ	タ
もの	モノ	モノ
に	ニ	ニ
対し	タイシ	タイシ
て	テ	テ
も	モ	モ
同じ	オナジ	オナジ
条件	ジョウケン	ジョーケン
が	ガ	ガ
つい	ツイ	ツイ
て	テ	テ
、	、	、
で	デ	デ
、	、	、
そう	ソウ	ソー
する	スル	スル
と	ト	ト
こう	コウ	コー
何	ナン	ナン
世代	セダイ	セダイ
に	ニ	ニ
も	モ	モ
渡っ	ワタッ	ワタッ
て	テ	テ
改変	カイヘン	カイヘン
さ	サ	サ
れ	レ	レ
て	テ	テ
いっ	イッ	イッ
た	タ	タ
もの	モノ	モノ
が	ガ	ガ
、	、	、
どの	ドノ	ドノ
段階	ダンカイ	ダンカイ
で	デ	デ
切り取っ	キリトッ	キリトッ
て	テ	テ
も	モ	モ
同じ	オナジ	オナジ
自由	ジユウ	ジユー
度	ド	ド
で	デ	デ
誰	ダレ	ダレ
で	デ	デ
も	モ	モ
使っ	ツカッ	ツカッ
て	テ	テ
いい	イイ	イー
と	ト	ト
いう	ユウ	ユー
状態	ジョウタイ	ジョータイ
に	ニ	ニ
する	スル	スル
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
で	デ	デ
、	、	、
だ	ダ	ダ
から	カラ	カラ
言っ	イッ	イッ
て	テ	テ
しまう	シマウ	シマウ
と	ト	ト
、	、	、
法律	ホウリツ	ホーリツ
の	ノ	ノ
世界	セカイ	セカイ
に	ニ	ニ
対し	タイシ	タイシ
て	テ	テ
別	ベツ	ベツ
の	ノ	ノ
法律	ホウリツ	ホーリツ
を	ヲ	オ
ぶつけ	ブツケ	ブツケ
て	テ	テ
新しい	アタラシイ	アタラシー
世界	セカイ	セカイ
を	ヲ	オ
作り	ツクリ	ツクリ
ましょう	マショウ	マショー
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
が	ガ	ガ
あり	アリ	アリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
コピー	コピー	コピー
ライト	ライト	ライト
に	ニ	ニ
対し	タイシ	タイシ
て	テ	テ
コピー	コピー	コピー
レフト	レフト	レフト
、	、	、
これ	コレ	コレ
いい	イイ	イー
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
そして	ソシテ	ソシテ
新しい	アタラシイ	アタラシー
世界	セカイ	セカイ
を	ヲ	オ
作ろう	ツクロウ	ツクロー
と	ト	ト
いう	ユウ	ユー
その	ソノ	ソノ
発想	ハッソウ	ハッソー
、	、	、
スピリット	スピリット	スピリット
、	、	、
これ	コレ	コレ
も	モ	モ
いい	イイ	イー
です	デス	デス
よ	ヨ	ヨ
ね	ネ	ネ
。	。	。
EOS
そう	ソウ	ソー
いう	ユウ	ユー
マインド	マインド	マインド
こそ	コソ	コソ
、	、	、
私	ワタクシ	ワタクシ
たち	タチ	タチ
今	イマ	イマ
を	ヲ	オ
生きる	イキル	イキル
ジェネレーション	ジェネレーション	ジェネレーション
が	ガ	ガ
、	、	、
やっぱり	ヤッパリ	ヤッパリ
大切	タイセツ	タイセツ
に	ニ	ニ
し	シ	シ
たい	タイ	タイ
こと	コト	コト
です	デス	デス
よ	ヨ	ヨ
ね	ネ	ネ
。	。	。
EOS
で	デ	デ
も	モ	モ
、	、	、
そんな	ソンナ	ソンナ
フリー	フリー	フリー
マインド	マインド	マインド
、	、	、
フリー	フリー	フリー
スピリット	スピリット	スピリット
な	ナ	ナ
ネット	ネット	ネット
カルチャー	カルチャー	カルチャー
が	ガ	ガ
、	、	、
今	イマ	イマ
、	、	、
少し	スコシ	スコシ
ずつ	ズツ	ズツ
変化	ヘンカ	ヘンカ
し	シ	シ
て	テ	テ
いる	イル	イル
よう	ヨウ	ヨー
です	デス	デス
。	。	。
EOS
J	ジェー	ジェー
-		
WAVE	ウエーブ	ウエーブ
360	スリーシックスティー	スリーシックスティー
Forum	フォーラム	フォーラム
~		
Seek	シーク	シーク
and	アンド	アンド
Find	ファインド	ファインド
~		
。	。	。
EOS
今月	コンゲツ	コンゲツ
の	ノ	ノ
テーマ	テーマ	テーマ
は	ハ	ワ
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
。	。	。
EOS
そもそも	ソモソモ	ソモソモ
1	イチ	イチ
9	キュウ	キュー
6	ロク	ロク
0	ゼロ	ゼロ
年	ネン	ネン
代	ダイ	ダイ
に	ニ	ニ
、	、	、
こう	コウ	コー
いっ	イッ	イッ
た	タ	タ
フリー	フリー	フリー
と	ト	ト
いう	ユウ	ユー
思想	シソウ	シソー
・	・	・
発想	ハッソウ	ハッソー
が	ガ	ガ
アメリカ	アメリカ	アメリカ
で	デ	デ
大きく	オオキク	オーキク
芽生え	メバエ	メバエ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ボブ	ボブ	ボブ
ディラン	ディラン	ディラン
は	ハ	ワ
それ	ソレ	ソレ
は	ハ	ワ
歌	ウタ	ウタ
に	ニ	ニ
し	シ	シ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
グレイト	グレイト	グレート
フル	フル	フル
デッド	デッド	デッド
は	ハ	ワ
、	、	、
それ	ソレ	ソレ
を	ヲ	オ
バンド	バンド	バンド
と	ト	ト
ファン	ファン	ファン
、	、	、
1	イチ	イチ
つ	ツ	ツ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
体現	タイゲン	タイゲン
し	シ	シ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
の	ノ	ノ
起源	キゲン	キゲン
は	ハ	ワ
グレイト	グレイト	グレート
フル	フル	フル
デッド	デッド	デッド
と	ト	ト
その	ソノ	ソノ
ファン	ファン	ファン
で	デ	デ
ある	アル	アル
。	。	。
EOS
ま	マ	マ
、	、	、
そう	ソウ	ソー
語る	カタル	カタル
ジャーナリスト	ジャーナリスト	ジャーナリスト
・	・	・
評論	ヒョウロン	ヒョーロン
家	カ	カ
も	モ	モ
い	イ	イ
ます	マス	マス
。	。	。
EOS
やがて	ヤガテ	ヤガテ
1	イチ	イチ
9	キュウ	キュー
6	ロク	ロク
8	ハチ	ハチ
年	ネン	ネン
、	、	、
サマー	サマー	サマー
オブ	オブ	オブ
ラブ	ラブ	ラブ	
が	ガ	ガ
あり	アリ	アリ
、	、	、
ヒッピー	ヒッピー	ヒッピー
ムーブメント	ムーブメント	ムーブメント
、	、	、
フラワー	フラワー	フラワー
チルドレン	チルドレン	チルドレン
と	ト	ト
いう	ユウ	ユー
大きな	オオキナ	オーキナ
花	ハナ	ハナ
が	ガ	ガ
開き	ヒラキ	ヒラキ
、	、	、
そして	ソシテ	ソシテ
1	イチ	イチ
9	キュウ	キュー
6	ロク	ロク
9	キュウ	キュー
年	ネン	ネン
の	ノ	ノ
ウッド	ウッド	ウッド
ストック	ストック	ストック
に	ニ	ニ
よっ	ヨッ	ヨッ
て	テ	テ
1	イッ	イッ
つ	ツ	ツ
の	ノ	ノ
季節	キセツ	キセツ
が	ガ	ガ
終わり	オワリ	オワリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ウッド	ウッド	ウッド
ストック	ストック	ストック
を	ヲ	オ
経験	ケイケン	ケーケン
し	シ	シ
た	タ	タ
世代	セダイ	セダイ
は	ハ	ワ
、	、	、
1	イチ	イチ
9	キュウ	キュー
7	ナナ	ナナ
0	ゼロ	ゼロ
年	ネン	ネン
代	ダイ	ダイ
カリフォルニア	カリフォルニア	カリフォルニア
を	ヲ	オ
目指し	メザシ	メザシ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そして	ソシテ	ソシテ
、	、	、
その	ソノ	ソノ
一部	イチブ	イチブ
の	ノ	ノ
人々	ヒトビト	ヒトビト
が	ガ	ガ
シリコン	シリコン	シリコン
バレー	バレー	バレー
王国	オウコク	オーコク
を	ヲ	オ
作り上げ	ツクリアゲ	ツクリアゲ
て	テ	テ
いき	イキ	イキ
ます	マス	マス
。	。	。
EOS
そう	ソウ	ソー
、	、	、
アップル	アップル	アップル
コンピューター	コンピューター	コンピューター
も	モ	モ
そんな	ソンナ	ソンナ
世界	セカイ	セカイ
の	ノ	ノ
片隅	カタスミ	カタスミ
で	デ	デ
生まれ	ウマレ	ウマレ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
こう	コウ	コー
いっ	イッ	イッ
た	タ	タ
流れ	ナガレ	ナガレ
の	ノ	ノ
ソース	ソース	ソース
、	、	、
源	ミナモト	ミナモト
に	ニ	ニ
、	、	、
常	ツネ	ツネ
に	ニ	ニ
あっ	アッ	アッ
た	タ	タ
の	ノ	ノ
が	ガ	ガ
フリー	フリー	フリー
で	デ	デ
ある	アル	アル
こと	コト	コト
。	。	。
EOS
つまり	ツマリ	ツマリ
、	、	、
誰	ダレ	ダレ
も	モ	モ
が	ガ	ガ
自由	ジユウ	ジユー
に	ニ	ニ
、	、	、
有	ユウ	ユー
意義	イギ	イギ
に	ニ	ニ
共有	キョウユウ	キョーユー
しよう	シヨウ	シヨー
よ	ヨ	ヨ
と	ト	ト
いう	イウ	イウ
、	、	、
ピース	ピース	ピース
フル	フル	フル
な	ナ	ナ
考え	カンガエ	カンガエ
方	カタ	カタ
です	デス	デス
。	。	。
EOS
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
と	ト	ト
いう	ユウ	ユー
の	ノ	ノ
は	ハ	ワ
この	コノ	コノ
よう	ヨウ	ヨー
に	ニ	ニ
2	ニ	ニ
0	ゼロ	ゼロ
世紀	セイキ	セーキ
の	ノ	ノ
アメリカ	アメリカ	アメリカ
から	カラ	カラ
続く	ツヅク	ツズク
、	、	、
音楽	オンガク	オンガク
や	ヤ	ヤ
文化	ブンカ	ブンカ
の	ノ	ノ
ヒストリー	ヒストリー	ヒストリー
